Student_ID,Student_Name,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5
1,Student_1,106,102,103,107,104
2,Student_2,101,103,104,107,105
3,Student_3,107,101,103,105,102
4,Student_4,106,103,102,101,105
5,Student_5,107,104,101,105,102
6,Student_6,105,102,101,103,106
7,Student_7,101,103,102,105,106
8,Student_8,104,106,101,105,107
9,Student_9,105,102,107,106,104
10,Student_10,104,107,105,101,106
11,Student_11,105,101,102,104,107
12,Student_12,106,103,105,104,102
13,Student_13,103,102,107,106,101
14,Student_14,102,104,107,103,106
15,Student_15,103,101,102,105,104
